,Date,Population,State,Price,Unemployment Rate
0,01/12/05,6718023,NSW,81.8,5.2937566
1,01/12/05,5023203,VIC,64.0,5.2600372
2,01/12/05,3964175,QLD,75.0,4.8636096
3,01/12/05,1544852,SA,71.6,4.8681805
4,01/12/05,2029936,WA,70.0,4.3264112
5,01/12/05,488098,TAS,79.1,5.9625633
6,01/12/05,207385,NT,60.2,6.0045767
7,01/12/05,333505,ACT,71.7,3.4225362
8,01/03/06,6735528,NSW,80.8,4.9787804
9,01/03/06,5048207,VIC,65.4,5.1129317
10,01/03/06,3987653,QLD,75.6,4.7051245
11,01/03/06,1550135,SA,72.2,5.0350001
12,01/03/06,2042450,WA,75.6,3.9880636
13,01/03/06,489140,TAS,81.0,6.608448
14,01/03/06,208347,NT,63.2,5.7653309
15,01/03/06,334299,ACT,72.5,3.2543687
16,01/06/06,6742690,NSW,82.3,5.2884388
17,01/06/06,5061266,VIC,67.2,5.0215261
18,01/06/06,4007992,QLD,77.5,4.5002429
19,01/06/06,1552529,SA,73.4,4.7305127
20,01/06/06,2050581,WA,86.4,3.3512129
21,01/06/06,489302,TAS,83.4,6.669892
22,01/06/06,209057,NT,67.1,4.9422262
23,01/06/06,335170,ACT,74.3,3.0042632
24,01/09/06,6766133,NSW,82.0,5.2007804
25,01/09/06,5083593,VIC,68.1,4.5791411
26,01/09/06,4031580,QLD,78.5,4.5389226
27,01/09/06,1557332,SA,73.8,4.7728774
28,01/09/06,2064032,WA,95.1,3.3529644
29,01/09/06,490354,TAS,84.6,6.6029782
30,01/09/06,210284,NT,67.3,3.7862716
31,01/09/06,336547,ACT,76.0,2.9011747
32,01/12/06,6786160,NSW,82.7,4.8116753
33,01/12/06,5103965,VIC,69.5,5.0034759
34,01/12/06,4055845,QLD,80.5,4.0897355
35,01/12/06,1561300,SA,75.7,5.4678791
36,01/12/06,2076867,WA,98.4,3.3396949
37,01/12/06,491515,TAS,86.1,5.6553841
38,01/12/06,211029,NT,70.5,2.6972654
39,01/12/06,338381,ACT,77.1,3.0131472
40,01/03/07,6815359,NSW,81.9,4.9570252
41,01/03/07,5134074,VIC,71.0,4.8282367
42,01/03/07,4084531,QLD,83.6,3.9685446
43,01/03/07,1567206,SA,77.2,4.8715496
44,01/03/07,2093633,WA,99.0,2.7369735
45,01/03/07,492625,TAS,88.5,5.2802861
46,01/03/07,212372,NT,72.2,3.9498713
47,01/03/07,340544,ACT,78.6,3.0142606
48,01/06/07,6834156,NSW,85.2,4.5740768
49,01/06/07,5153522,VIC,76.0,4.6276918
50,01/06/07,4111018,QLD,89.0,3.5687089
51,01/06/07,1570619,SA,81.9,5.0131035
52,01/06/07,2106139,WA,97.7,3.681227
53,01/06/07,493262,TAS,89.6,5.2770751
54,01/06/07,213748,NT,74.1,4.7796575
55,01/06/07,342644,ACT,82.0,2.8970935
56,01/09/07,6859736,NSW,87.3,4.6551286
57,01/09/07,5178515,VIC,79.5,4.2902575
58,01/09/07,4134958,QLD,93.4,3.7408803
59,01/09/07,1574537,SA,86.9,4.6450093
60,01/09/07,2120776,WA,99.4,3.4664122
61,01/09/07,494547,TAS,92.3,5.0937561
62,01/09/07,215180,NT,76.3,4.8889133
63,01/09/07,343341,ACT,86.3,2.6307377
64,01/12/07,6883852,NSW,89.2,4.6471845
65,01/12/07,5199503,VIC,84.7,4.8624812
66,01/12/07,4159990,QLD,98.1,3.5554434
67,01/12/07,1578489,SA,91.9,4.8994916
68,01/12/07,2135006,WA,100.6,3.3043521
69,01/12/07,495858,TAS,96.0,5.266236
70,01/12/07,216618,NT,78.3,5.0015863
71,01/12/07,344176,ACT,88.6,2.5244427
72,01/03/08,6919907,NSW,88.5,4.3379433
73,01/03/08,5233000,VIC,85.7,4.2475179
74,01/03/08,4191479,QLD,100.6,3.6192829
75,01/03/08,1584408,SA,94.9,4.3942352
76,01/03/08,2155552,WA,99.5,3.1462671
77,01/03/08,497552,TAS,93.9,4.714129
78,01/03/08,217912,NT,77.7,4.2035861
79,01/03/08,346477,ACT,89.3,2.625156
80,01/06/08,6943461,NSW,87.3,4.5651604
81,01/06/08,5256375,VIC,85.5,4.6396301
82,01/06/08,4219505,QLD,101.3,3.7451225
83,01/06/08,1588665,SA,93.8,4.8771285
84,01/06/08,2171700,WA,97.6,3.1342039
85,01/06/08,498568,TAS,95.2,4.0894591
86,01/06/08,219874,NT,78.5,3.0638353
87,01/06/08,348368,ACT,87.7,2.766686
88,01/09/08,6972395,NSW,85.7,4.8824728
89,01/09/08,5286549,VIC,83.0,4.4341489
90,01/09/08,4247991,QLD,97.5,3.7008189
91,01/09/08,1593725,SA,94.1,5.6205045
92,01/09/08,2191582,WA,95.3,2.9058171
93,01/09/08,500062,TAS,93.3,3.9001263
94,01/09/08,221464,NT,81.8,3.1486531
95,01/09/08,349543,ACT,85.2,2.7999481
96,01/12/08,7001782,NSW,84.5,5.2473776
97,01/12/08,5313285,VIC,82.3,4.8336797
98,01/12/08,4275551,QLD,95.8,3.898647
99,01/12/08,1597880,SA,93.6,5.3364276
100,01/12/08,2208928,WA,92.9,3.026866
101,01/12/08,501774,TAS,93.9,4.9660112
102,01/12/08,222526,NT,84.3,3.9764787
103,01/12/08,351101,ACT,84.8,2.5406019
104,01/03/09,7032423,NSW,83.9,6.6907319
